symbol,timestamp,ofi_best,ofi_lvl_0,ofi_lvl_1,ofi_lvl_2,ofi_lvl_3,ofi_lvl_4,ofi_lvl_5,ofi_lvl_6,ofi_lvl_7,ofi_lvl_8,ofi_lvl_9,ofi_integrated,ofi_cross_asset
AAPL,2024-10-21 11:54:00+00:00,5,5,798.0,0,-1.0,0.0,0.0,0.0,,,,-580.0944330870794,-580.0944330870794
AAPL,2024-10-21 11:55:00+00:00,-516,-516,1173.0,1257,-57.0,0.0,,0.0,,,,676.3866968284158,676.3866968284158
AAPL,2024-10-21 11:56:00+00:00,-1,-1,0.0,1400,0.0,0.0,,,0.0,,,729.7952702507582,729.7952702507582
AAPL,2024-10-21 11:57:00+00:00,201,201,373.0,800,229.0,0.0,0.0,0.0,,,,84.14232357726746,84.14232357726746
AAPL,2024-10-21 11:58:00+00:00,162,162,-540.0,366,35.0,-26.0,0.0,0.0,0.0,,,-285.8068357762376,-285.8068357762376
AAPL,2024-10-21 11:59:00+00:00,200,200,1347.0,454,0.0,0.0,0.0,,,,,-151.647802478893,-151.647802478893
AAPL,2024-10-21 12:00:00+00:00,499,499,147.0,1826,429.0,-2.0,0.0,,,,,968.958357454148,968.958357454148
AAPL,2024-10-21 12:01:00+00:00,1,1,0.0,1400,973.0,28.0,28.0,-28.0,,,,431.18953047045716,431.18953047045716
AAPL,2024-10-21 12:02:00+00:00,-1,-1,0.0,400,400.0,0.0,1.0,,,,,-341.22206418149693,-341.22206418149693
AAPL,2024-10-21 12:03:00+00:00,1,1,,600,400.0,-1.0,28.0,-28.0,,,,-151.90634991487008,-151.90634991487008
AAPL,2024-10-21 12:04:00+00:00,0,0,218.0,232,1198.0,-26.0,0.0,,,0.0,,-739.7742737013531,-739.7742737013531
AAPL,2024-10-21 12:05:00+00:00,907,907,-87.0,350,1262.0,272.0,1128.0,-53.0,26.0,,0.0,-727.1115827484888,-727.1115827484888
AAPL,2024-10-21 12:06:00+00:00,200,200,200.0,1003,396.0,0.0,,,,,,221.68853021421563,221.68853021421563
AAPL,2024-10-21 12:07:00+00:00,929,929,-100.0,28,343.0,0.0,,,,,,-747.5801250347461,-747.5801250347461
AAPL,2024-10-21 12:08:00+00:00,900,900,488.0,13,-57.0,0.0,0.0,0.0,,,,-623.7787811616284,-623.7787811616284
AAPL,2024-10-21 12:09:00+00:00,211,211,779.0,655,2.0,-26.0,,,,,100.0,24.887385891568112,24.887385891568112
AAPL,2024-10-21 12:10:00+00:00,0,0,362.0,1430,772.0,26.0,,,,,,529.7947752136465,529.7947752136465
AAPL,2024-10-21 12:11:00+00:00,-1,-1,3200.0,1171,27.0,0.0,,,,,,577.2799568929513,577.2799568929513
AAPL,2024-10-21 12:12:00+00:00,-66,-66,1880.0,774,0.0,0.0,0.0,,,,,183.6804092926932,183.6804092926932
AAPL,2024-10-21 12:13:00+00:00,1200,1200,273.0,300,0.0,,,,,,,-396.0595069172464,-396.0595069172464
AAPL,2024-10-21 12:14:00+00:00,-22,-22,1828.0,0,0.0,,,,,,,-554.9206185774757,-554.9206185774757
AAPL,2024-10-21 12:15:00+00:00,-28,-28,801.0,-30,858.0,200.0,,,,,,-870.996770844808,-870.996770844808
AAPL,2024-10-21 12:16:00+00:00,741,741,371.0,27,0.0,0.0,0.0,,,,,-618.8787383021158,-618.8787383021158
AAPL,2024-10-21 12:17:00+00:00,-417,-417,627.0,828,-27.0,0.0,0.0,,,,,240.51834403031032,240.51834403031032
AAPL,2024-10-21 12:18:00+00:00,200,200,400.0,600,-1.0,,,,,,,-34.44905691274476,-34.44905691274476
AAPL,2024-10-21 12:19:00+00:00,400,400,800.0,230,-27.0,,,,0.0,,,-383.09451884950863,-383.09451884950863
AAPL,2024-10-21 12:20:00+00:00,955,955,400.0,626,-400.0,-30.0,,,,,,56.92046670726813,56.92046670726813
AAPL,2024-10-21 12:21:00+00:00,0,0,0.0,3174,26.0,30.0,-30.0,,,,,2404.2403316274053,2404.2403316274053
AAPL,2024-10-21 12:22:00+00:00,-650,-650,257.0,346,,,,,,,,-216.17308593521076,-216.17308593521076
AAPL,2024-10-21 12:23:00+00:00,-196,-196,1240.0,1399,1228.0,27.0,,,,,,395.24757559197326,395.24757559197326
AAPL,2024-10-21 12:24:00+00:00,100,100,600.0,573,657.0,-27.0,0.0,,,,,-249.33422478182666,-249.33422478182666
AAPL,2024-10-21 12:25:00+00:00,101,101,1.0,0,770.0,400.0,,,,0.0,,-845.2886360224187,-845.2886360224187
AAPL,2024-10-21 12:26:00+00:00,195,195,-100.0,0,2200.0,200.0,,,0.0,0.0,,-1290.4744248301167,-1290.4744248301167
AAPL,2024-10-21 12:27:00+00:00,100,100,400.0,0,1800.0,,0.0,0.0,,,,-1147.652156137551,-1147.652156137551
AAPL,2024-10-21 12:28:00+00:00,-100,-100,0.0,0,2200.0,,,,,,,-1264.4835630952448,-1264.4835630952448
AAPL,2024-10-21 12:29:00+00:00,67,67,-200.0,0,1800.0,800.0,,,,,,-1166.5984902540365,-1166.5984902540365
AAPL,2024-10-21 12:30:00+00:00,-101,-101,0.0,2200,600.0,0.0,0.0,,,,,1312.2877315802816,1312.2877315802816
AAPL,2024-10-21 12:31:00+00:00,207,207,-200.0,2800,400.0,,,,,,,1915.3431841790325,1915.3431841790325
AAPL,2024-10-21 12:32:00+00:00,-291,-291,100.0,1391,400.0,,,,0.0,,,622.4743915056715,622.4743915056715
AAPL,2024-10-21 12:33:00+00:00,14,14,-414.0,1800,200.0,,,,-10.0,0.0,,1037.399209651368,1037.399209651368
AAPL,2024-10-21 12:34:00+00:00,200,200,-200.0,400,,,,,,,,-238.14347288837251,-238.14347288837251
AAPL,2024-10-21 12:35:00+00:00,80,80,0.0,1100,600.0,,,,,,,255.53286870275437,255.53286870275437
AAPL,2024-10-21 12:36:00+00:00,100,100,201.0,600,200.0,400.0,,,,,,-96.99919864982823,-96.99919864982823
AAPL,2024-10-21 12:37:00+00:00,-99,-99,0.0,1600,2200.0,400.0,0.0,,,,,249.24738864338286,249.24738864338286
AAPL,2024-10-21 12:38:00+00:00,98,98,-380.0,2000,800.0,0.0,0.0,0.0,0.0,,,1037.980149951107,1037.980149951107
AAPL,2024-10-21 12:39:00+00:00,0,0,100.0,800,,,0.0,,,0.0,,162.88068843430258,162.88068843430258
AAPL,2024-10-21 12:40:00+00:00,505,505,100.0,200,800.0,0.0,0.0,0.0,,0.0,,-688.4937837394871,-688.4937837394871
AAPL,2024-10-21 12:41:00+00:00,-334,-334,-378.0,212,800.0,0.0,0.0,0.0,,,,-626.0523460023197,-626.0523460023197
AAPL,2024-10-21 12:42:00+00:00,500,500,-200.0,1600,400.0,400.0,0.0,,,,,751.6128245978877,751.6128245978877
AAPL,2024-10-21 12:43:00+00:00,160,160,-100.0,400,400.0,1800.0,,,,,,-372.7191966211877,-372.7191966211877
AAPL,2024-10-21 12:44:00+00:00,-90,-90,-100.0,-600,1200.0,0.0,,,,,,-1530.422770942319,-1530.422770942319
AAPL,2024-10-21 12:45:00+00:00,24,24,-24.0,1200,200.0,,400.0,,,,,475.54761253526885,475.54761253526885
AAPL,2024-10-21 12:46:00+00:00,0,0,0.0,200,1000.0,,,,,9.0,,-714.9007947903332,-714.9007947903332
AAPL,2024-10-21 12:47:00+00:00,-10,-10,500.0,900,,0.0,,1000.0,,,,274.44937493383827,274.44937493383827
AAPL,2024-10-21 12:48:00+00:00,10,10,-200.0,2800,400.0,1000.0,,,,-1000.0,,1940.2547744289989,1940.2547744289989
AAPL,2024-10-21 12:49:00+00:00,281,281,519.0,900,-1100.0,6.0,1000.0,-6.0,,1000.0,,560.999516576303,560.999516576303
AAPL,2024-10-21 12:50:00+00:00,0,0,600.0,800,,,,,124.0,,,174.55657307004134,174.55657307004134
AAPL,2024-10-21 12:51:00+00:00,-200,-200,400.0,2420,,,,,,,,1721.117427419381,1721.117427419381
AAPL,2024-10-21 12:52:00+00:00,54,54,35.0,711,600.0,0.0,,,20.0,,,-110.68475789592988,-110.68475789592988
AAPL,2024-10-21 12:53:00+00:00,0,0,0.0,200,,,,,,,,-408.5204573353105,-408.5204573353105
AAPL,2024-10-21 12:54:00+00:00,112,112,400.0,400,0.0,0.0,,,,,,-217.963620478876,-217.963620478876
AAPL,2024-10-21 12:55:00+00:00,-11,-11,200.0,800,,,,,,,,165.9732214694008,165.9732214694008
AAPL,2024-10-21 12:56:00+00:00,100,100,400.0,400,,,,,,,,-217.07744546129032,-217.07744546129032
AAPL,2024-10-21 12:57:00+00:00,25,25,,0,800.0,,0.0,,,,,-845.0339689163587,-845.0339689163587
AAPL,2024-10-21 12:58:00+00:00,291,291,687.0,1305,0.0,-800.0,,,,1000.0,,621.4968071321608,621.4968071321608
AAPL,2024-10-21 12:59:00+00:00,100,100,5.0,-5,800.0,,0.0,,,,,-855.2012269781037,-855.2012269781037
AAPL,2024-10-21 13:00:00+00:00,-100,-100,200.0,1600,0.0,0.0,,,115.0,-124.0,,934.107414385175,934.107414385175
AAPL,2024-10-21 13:01:00+00:00,-5,-5,-200.0,600,400.0,0.0,0.0,0.0,,,,-155.7778365681709,-155.7778365681709
AAPL,2024-10-21 13:02:00+00:00,-1247,-1247,-200.0,600,-400.0,1200.0,200.0,0.0,0.0,0.0,,168.894918247472,168.894918247472
AAPL,2024-10-21 13:03:00+00:00,-21,-21,-78.0,200,600.0,0.0,,,,,,-592.4684619466544,-592.4684619466544
AAPL,2024-10-21 13:04:00+00:00,-1,-1,0.0,-200,200.0,,,,,,,-849.1006527272626,-849.1006527272626
